,age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count,predicted_score
49,25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,XPANDER,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012945496
96,25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,XPANDER_CROSS,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012935232
151,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,SLK200,Non-EV,L,CONVERTIBLE,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012904936
42,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,SYLPHY,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012878655
60,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CAMRY,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012877006
47,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,VELOZ,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012874063
40,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CAMRY_HYBRID,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012866734
64,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,E300e_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.001285919
100,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,E350e_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012848917
147,25-45,Male,Thai,GENERAL,OTHER STATION,MG,EXTENDER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012841979
50,25-45,Male,Thai,GENERAL,OTHER STATION,NETA,V,EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012836326
55,25-45,Male,Thai,GENERAL,OTHER STATION,MG,VS_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012775771
72,25-45,Male,Thai,GENERAL,OTHER STATION,VOLVO,XC40,Non-EV,M,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012727994
91,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLC300e_PHEV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012649233
4,25-45,Male,Thai,GENERAL,OTHER STATION,HONDA,E:N1,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,1.0,0.0012646122
7,25-45,Male,Thai,GENERAL,OTHER STATION,MG,ZS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.00126216
71,25-45,Male,Thai,GENERAL,OTHER STATION,FORD,RANGER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012605088
48,25-45,Male,Thai,GENERAL,OTHER STATION,ORA,GOODCAT,EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012593456
62,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,INNOVA,Non-EV,L,MPV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012530545
87,25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,XL7,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012520393
102,25-45,Male,Thai,GENERAL,OTHER STATION,SUBARU,FORESTER,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.001251719
131,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,BZ4X,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012498694
74,25-45,Male,Thai,GENERAL,OTHER STATION,MG,HS_PHEV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012493934
138,25-45,Male,Thai,GENERAL,OTHER STATION,VOLVO,EX30-EV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012418153
116,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,YARIS_CROSS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012393808
89,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,X1,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012302464
125,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,X3,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012281919
23,25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER_SE_EV,EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.001222345
122,25-45,Male,Thai,GENERAL,OTHER STATION,MITSUBISHI,TRITON_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012223097
68,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,REVO_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012161974
123,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,TEANA,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012134276
120,25-45,Male,Thai,GENERAL,OTHER STATION,VOLVO,S60,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0012021726
113,25-45,Male,Thai,GENERAL,OTHER STATION,AION,Y-PLUS,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011879364
99,25-45,Male,Thai,GENERAL,OTHER STATION,SUBARU,XV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011787377
128,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,I7,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011733407
149,25-45,Male,Thai,GENERAL,OTHER STATION,PORSCHE,TAYCAN,EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011727363
26,25-45,Male,Thai,GENERAL,OTHER STATION,BMW,IX3,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011636484
143,25-45,Male,Thai,GENERAL,OTHER STATION,DEEPAL,L07,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011596531
152,25-45,Male,Thai,GENERAL,OTHER STATION,BYD,M6,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011542905
28,25-45,Male,Thai,GENERAL,OTHER STATION,MG,ZS_EV,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011513615
104,25-45,Male,Thai,GENERAL,OTHER STATION,BYD,SEAL,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011454839
137,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,TEANA,Non-EV,,,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011450471
112,25-45,Male,Thai,GENERAL,OTHER STATION,TESLA,MODEL_3,EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011081472
145,25-45,Male,Thai,GENERAL,OTHER STATION,TESLA,MODEL_Y,EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0011050524
