,userid,age,sex,nationality,usertype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,stationtype,timeofday,dayofweek,holiday,reservation_count,view_count
114,430,25-45,Male,Thai,GENERAL,SUZUKI,SWIFT,Non-EV,XS,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKEND,No,2.0,0.0
115,430,25-45,Male,Thai,GENERAL,TOYOTA,ALTIS,Non-EV,M,SEDAN,OTHER STATION,LATE NIGHT,WEEKDAY,No,4.0,0.0
116,430,25-45,Male,Thai,GENERAL,TOYOTA,ALTIS,Non-EV,M,SEDAN,OTHER STATION,LEISURE HOURS,WEEKDAY,No,3.0,0.0
117,430,25-45,Male,Thai,GENERAL,TOYOTA,ALTIS,Non-EV,M,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,Yes,1.0,2.0
118,430,25-45,Male,Thai,GENERAL,TOYOTA,ALTIS,Non-EV,M,SEDAN,OTHER STATION,WORK HOURS,WEEKEND,No,1.0,0.0
119,430,25-45,Male,Thai,GENERAL,TOYOTA,ATIV,Non-EV,XS,SEDAN,OTHER STATION,LATE NIGHT,WEEKDAY,No,2.0,0.0
120,430,25-45,Male,Thai,GENERAL,TOYOTA,ATIV,Non-EV,XS,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,1.0,0.0
121,430,25-45,Male,Thai,GENERAL,TOYOTA,ATIV,Non-EV,XS,SEDAN,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,1.0
122,430,25-45,Male,Thai,GENERAL,TOYOTA,BZ4X,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,2.0
123,430,25-45,Male,Thai,GENERAL,TOYOTA,BZ4X,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,2.0
124,430,25-45,Male,Thai,GENERAL,TOYOTA,C-HR_HYBRID,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
125,430,25-45,Male,Thai,GENERAL,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,3.0
126,430,25-45,Male,Thai,GENERAL,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,1.0
127,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,2.0,2.0
128,430,25-45,Male,Thai,GENERAL,TOYOTA,FORTUNER,Non-EV,XL,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,1.0
129,430,25-45,Male,Thai,GENERAL,TOYOTA,PRIUS_HYBRID,Non-EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
130,430,25-45,Male,Thai,GENERAL,TOYOTA,VIOS,Non-EV,S,SEDAN,OTHER STATION,LATE NIGHT,WEEKEND,No,1.0,0.0
131,430,25-45,Male,Thai,GENERAL,TOYOTA,YARIS,Non-EV,XS,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,1.0,0.0
132,430,25-45,Male,Thai,GENERAL,TOYOTA,YARIS,Non-EV,XS,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,Yes,1.0,0.0
133,430,25-45,Male,Thai,GENERAL,BMW,330E_PHEV,Non-EV,L,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
134,430,25-45,Male,Thai,GENERAL,BMW,IX3,EV,L,SUV,TRAIN STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
135,430,25-45,Male,Thai,GENERAL,BMW,IX3,EV,L,SUV,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
136,430,25-45,Male,Thai,GENERAL,BMW,IX3,EV,L,SUV,TRAIN STATION,WORK HOURS,WEEKEND,No,0.0,1.0
137,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,TRAIN STATION,LEISURE HOURS,WEEKDAY,No,0.0,2.0
138,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,6.0
139,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,TRAIN STATION,WORK HOURS,WEEKEND,No,0.0,1.0
140,430,25-45,Male,Thai,GENERAL,BYD,ATTO_3,EV,M,SUV,TRAIN STATION,WORK HOURS,WEEKEND,Yes,0.0,1.0
141,430,25-45,Male,Thai,GENERAL,BYD,DOLPHIN,EV,S,HATCHBACK,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
